               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060675,            0.022471,            0.095722,            0.015934,                   1,            0.022768,            0.016372,            0.028895,             0.01012,            0.093716,           0.0033308,           0.0033308,            0.070023
                   1,            0.037124,            0.014645,            0.093359,            0.017801,                   1,            0.023381,            0.019065,            0.023989,           0.0081682,            0.093058,           0.0066202,           0.0066202,            0.039979
                   2,            0.034822,            0.013203,            0.092751,            0.017686,                   1,            0.025058,            0.020205,            0.023929,           0.0079058,            0.091771,           0.0098655,           0.0098655,           0.0098907
                   3,            0.030615,            0.012073,            0.090946,            0.018243,                   1,            0.046957,            0.038543,            0.020308,           0.0068778,            0.089432,            0.009802,            0.009802,            0.009802
                   4,            0.027336,            0.011365,            0.088037,             0.70872,             0.19297,            0.087815,            0.072729,            0.019805,           0.0065004,            0.085203,            0.009802,            0.009802,            0.009802
                   5,            0.025915,            0.010876,            0.083591,             0.44351,             0.33114,             0.15614,             0.12847,            0.019085,           0.0064162,            0.079939,            0.009736,            0.009736,            0.009736
                   6,             0.02592,             0.01077,             0.07687,             0.30209,             0.50285,              0.2926,             0.24743,            0.018365,           0.0060972,             0.06955,             0.00967,             0.00967,             0.00967
                   7,            0.027177,            0.010989,            0.066048,              0.3011,             0.73214,             0.39107,             0.33166,            0.019169,           0.0062523,            0.057121,            0.009604,            0.009604,            0.009604
                   8,            0.027408,            0.010811,            0.055689,             0.32641,             0.84227,             0.43494,             0.36963,            0.018659,           0.0060042,            0.049119,            0.009538,            0.009538,            0.009538
                   9,            0.026887,             0.01063,            0.049755,              0.3839,             0.86892,             0.50321,             0.43639,            0.017818,           0.0058019,            0.043354,            0.009472,            0.009472,            0.009472
                  10,            0.026749,            0.010513,            0.045548,             0.45774,             0.86011,             0.60268,             0.52721,            0.017191,           0.0056792,            0.039495,            0.009406,            0.009406,            0.009406
                  11,            0.026938,            0.010476,            0.041894,             0.61436,             0.84868,             0.75693,             0.65796,            0.018072,           0.0058896,            0.034042,             0.00934,             0.00934,             0.00934
                  12,            0.028033,            0.010758,            0.035756,             0.78151,             0.93966,             0.90149,             0.78889,            0.018102,           0.0057773,            0.025531,            0.009274,            0.009274,            0.009274
                  13,            0.028695,            0.010698,            0.029107,             0.92269,             0.98098,             0.96261,             0.85182,            0.017448,           0.0056703,            0.018781,            0.009208,            0.009208,            0.009208
                  14,            0.029045,            0.010814,            0.023762,             0.98801,             0.99241,             0.99428,             0.88209,            0.017489,           0.0056747,            0.013968,            0.009142,            0.009142,            0.009142
                  15,            0.028958,            0.010752,            0.020044,             0.99456,             0.99415,             0.99481,             0.88527,            0.017284,           0.0056323,             0.01126,            0.009076,            0.009076,            0.009076
                  16,            0.028584,            0.010645,            0.018056,             0.99526,             0.99621,             0.99493,             0.88922,            0.017067,           0.0055325,           0.0099333,             0.00901,             0.00901,             0.00901
                  17,            0.028972,            0.010964,            0.017614,             0.99517,             0.99666,             0.99481,             0.88079,            0.017817,           0.0057239,           0.0090987,            0.008944,            0.008944,            0.008944
                  18,            0.028075,             0.01055,            0.015909,             0.99728,             0.99718,             0.99488,             0.89311,            0.016134,           0.0053365,           0.0084676,            0.008878,            0.008878,            0.008878
                  19,            0.027132,            0.010231,            0.014687,             0.99717,             0.99808,             0.99494,             0.89775,            0.015822,           0.0052601,           0.0078594,            0.008812,            0.008812,            0.008812
                  20,            0.026731,            0.010215,            0.014408,              0.9979,              0.9984,             0.99496,             0.89886,            0.015537,           0.0051282,           0.0073552,            0.008746,            0.008746,            0.008746
                  21,            0.026056,           0.0099571,            0.012893,             0.99794,             0.99861,             0.99486,             0.90635,            0.015106,           0.0049909,           0.0070804,             0.00868,             0.00868,             0.00868
